layer_idx,epochs_run,best_val_accuracy,test_accuracy,model_path
79,14,0.490000,0.909100,vww_finetuned_20251207_049000.h5
84,16,0.500000,0.971400,vww_finetuned_20251207_050000.h5
73,11,0.520000,0.970600,vww_finetuned_20251207_052000.h5
1,38,0.650000,0.756900,vww_finetuned_20251207_065000.h5
7,33,0.630000,0.712600,vww_finetuned_20251207_063000.h5
79,12,0.510000,0.955100,vww_finetuned_20251207_051000.h5
84,11,0.510000,0.977900,vww_finetuned_20251207_051000.h5
73,12,0.470000,0.957600,vww_finetuned_20251207_047000.h5
1,54,0.780000,0.757900,vww_finetuned_20251207_078000.h5
7,78,0.730000,0.789800,vww_finetuned_20251207_073000.h5
79,11,0.480000,0.960400,vww_finetuned_20251207_048000.h5
84,17,0.505000,0.959100,vww_finetuned_20251207_050500.h5
73,28,0.735000,0.580900,vww_finetuned_20251207_073500.h5
1,35,0.680000,0.715100,vww_finetuned_20251207_068000.h5
7,51,0.730000,0.795900,vww_finetuned_20251207_073000.h5
79,34,0.720000,0.559000,vww_finetuned_20251207_072000.h5
84,15,0.490000,0.965800,vww_finetuned_20251207_049000.h5
73,28,0.700000,0.646000,vww_finetuned_20251207_070000.h5
1,58,0.775000,0.715500,vww_finetuned_20251207_077500.h5
7,61,0.805000,0.891500,vww_finetuned_20251207_080500.h5
79,42,0.755932,0.682900,vww_finetuned_20251207_075593.h5
84,11,0.474576,0.962700,vww_finetuned_20251207_047458.h5
73,76,0.789831,0.730300,vww_finetuned_20251207_078983.h5
1,59,0.794915,0.640300,vww_finetuned_20251207_079492.h5
7,73,0.862712,0.915400,vww_finetuned_20251207_086271.h5
79,47,0.739830,0.670900,vww_finetuned_20251207_073983.h5
84,11,0.483051,0.962700,vww_finetuned_20251207_048305.h5
73,45,0.733898,0.709900,vww_finetuned_20251207_073390.h5
1,40,0.789831,0.686000,vww_finetuned_20251207_078983.h5
7,50,0.850000,0.881200,vww_finetuned_20251207_085000.h5
